EarthRef.org -- GERM Reservoir Database
Database development and maintenance by the PACER Team

DATA:
Reservoir	Z	Element	Value	Median	SD	Low	High	N	Unit	Reference	Computation	Notes	Inserted
Primitive Mantle	12	Mg	35.15						wt%ox	McDonough & Sun 1995	Model	Bulk silicate Earth model based on C1 Carbonaceous Chondrite values of major element oxides as taken from Taylor and McLennan 1985.	22-MAR-2000
Primitive Mantle	12	Mg	38.8						wt%ox	McDonough & Sun 1995	Model	Pyrolite model of the silicate Earth based on the MORB-harzburgite model according to Green et al. 1979. Compositions are given in weight percent per silicate oxide.	22-MAR-2000
Primitive Mantle	12	Mg	22.8		2.28				wt%	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle		Mg/Al	9.7							McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts.and basalts.	23-FEB-1999
Primitive Mantle	25	Mn	.13						wt%ox	McDonough & Sun 1995	Model	Pyrolite model of the silicate Earth based on the least depleted ultramafic xenolith model according to Jagoutz et al. 1979. Compositions are given in weight percent per silicate oxide.	22-MAR-2000
Primitive Mantle	25	Mn	.11						wt%ox	McDonough & Sun 1995	Model	Pyrolite model of the silicate Earth based on the MORB-harzburgite model according to Green et al. 1979. Compositions are given in weight percent per silicate oxide.	22-MAR-2000
Primitive Mantle	25	Mn	.135						wt%ox	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts.	23-FEB-1999
Primitive Mantle	25	Mn	.13						wt%ox	McDonough & Sun 1995	Model	Bulk silicate Earth model based on C1 Carbonaceous Chondrite values of major element oxides as taken from Taylor and McLennan 1985.	22-MAR-2000
Primitive Mantle	25	Mn	1045		104.5				ppm	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	42	Mo	50		20				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	7	N	2						ppm	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	11	Na	.36						wt%ox	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts.	23-FEB-1999
Primitive Mantle	11	Na	.4						wt%ox	McDonough & Sun 1995	Model	Pyrolite model of the silicate Earth based on the MORB-harzburgite model according to Green et al. 1979. Compositions are given in weight percent per silicate oxide.	22-MAR-2000
Primitive Mantle	11	Na	.34						wt%ox	McDonough & Sun 1995	Model	Bulk silicate Earth model based on C1 Carbonaceous Chondrite values of major element oxides as taken from Taylor and McLennan 1985.	22-MAR-2000
Primitive Mantle	11	Na	.33						wt%ox	McDonough & Sun 1995	Model	Pyrolite model of the silicate Earth based on the least depleted ultramafic xenolith model according to Jagoutz et al. 1979. Compositions are given in weight percent per silicate oxide.	22-MAR-2000
Primitive Mantle	11	Na	2670		401				ppm	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	41	Nb	658		98.7				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	60	Nd	1250		125				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	28	Ni	.25						wt%ox	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts.	23-FEB-1999
Primitive Mantle	28	Ni	.26						wt%ox	McDonough & Sun 1995	Model	Pyrolite model of the silicate Earth based on the MORB-harzburgite model according to Green et al. 1979. Compositions are given in weight percent per silicate oxide.	22-MAR-2000
Primitive Mantle	28	Ni	.25						wt%ox	McDonough & Sun 1995	Model	Bulk silicate Earth model based on C1 Carbonaceous Chondrite values of major element oxides as taken from Taylor and McLennan 1985.	22-MAR-2000
Primitive Mantle	28	Ni	.27						wt%ox	McDonough & Sun 1995	Model	Pyrolite model of the silicate Earth based on the least depleted ultramafic xenolith model according to Jagoutz et al. 1979. Compositions are given in weight percent per silicate oxide.	22-MAR-2000
Primitive Mantle	28	Ni	1960		196				ppm	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle		Ni/Co	18.7							McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts.and basalts.	23-FEB-1999
Primitive Mantle		Ni/P	22							McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts.and basalts.	23-FEB-1999
Primitive Mantle	76	Os	3.4		1.02				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	15	P	.021						wt%ox	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts.	23-FEB-1999
Primitive Mantle	15	P	90		13.5				ppm	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	82	Pb	150		30				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	46	Pd	3.9		3.12				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	59	Pr	254		25.4				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	78	Pt	7.1		2.13				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	37	Rb	.6		.18				ppm	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	75	Re	.28		.084				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	45	Rh	.9		.36				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	44	Ru	5		1.5				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	16	S	250		50				ppm	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	51	Sb	5.5		2.75				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	21	Sc	16.2		1.62				ppm	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	34	Se	.075		.0525				ppm	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	14	Si	45.16						wt%ox	McDonough & Sun 1995	Model	Pyrolite model of the silicate Earth based on the least depleted ultramafic xenolith model according to Jagoutz et al. 1979. Compositions are given in weight percent per silicate oxide.	22-MAR-2000
Primitive Mantle	14	Si	21		2.1				wt%	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	14	Si	45						wt%ox	McDonough & Sun 1995	Model	Pyrolite model of the silicate Earth based on the MORB-harzburgite model according to Green et al. 1979. Compositions are given in weight percent per silicate oxide.	22-MAR-2000
Primitive Mantle	14	Si	45						wt%ox	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts.	23-FEB-1999
Primitive Mantle	14	Si	49.9						wt%ox	McDonough & Sun 1995	Model	Bulk silicate Earth model based on C1 Carbonaceous Chondrite values of major element oxides as taken from Taylor and McLennan 1985.	22-MAR-2000
Primitive Mantle	62	Sm	406		40.6				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	50	Sn	130		39				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	38	Sr	19.9		1.99				ppm	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	73	Ta	37		5.6				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	65	Tb	99		9.9				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	52	Te	12						ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	90	Th	79.5		11.9				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	22	Ti	.16						wt%ox	McDonough & Sun 1995	Model	Bulk silicate Earth model based on C1 Carbonaceous Chondrite values of major element oxides as taken from Taylor and McLennan 1985.	22-MAR-2000
Primitive Mantle	22	Ti	.217						wt%ox	McDonough & Sun 1995	Model	Pyrolite model of the silicate Earth based on the least depleted ultramafic xenolith model according to Jagoutz et al. 1979. Compositions are given in weight percent per silicate oxide.	22-MAR-2000
Primitive Mantle	22	Ti	.201						wt%ox	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts.	23-FEB-1999
Primitive Mantle	22	Ti	1205		120.5				ppm	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	22	Ti	.17						wt%ox	McDonough & Sun 1995	Model	Pyrolite model of the silicate Earth based on the MORB-harzburgite model according to Green et al. 1979. Compositions are given in weight percent per silicate oxide.	22-MAR-2000
Primitive Mantle	81	Tl	3.5		1.4				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	69	Tm	68		6.8				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	92	U	20.3		4.1				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	23	V	82		12.3				ppm	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	74	W	29						ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	39	Y	4.3		.43				ppm	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	70	Yb	441		44.1				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	30	Zn	55		8.25				ppm	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	40	Zr	10.5		1.05				ppm	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	47	Ag	8						ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	13	Al	3.65						wt%ox	McDonough & Sun 1995	Model	Bulk silicate Earth model based on C1 Carbonaceous Chondrite values of major element oxides as taken from Taylor and McLennan 1985.	22-MAR-2000
Silicate Earth	13	Al	2.35		.235				wt%	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	13	Al	3.97						wt%ox	McDonough & Sun 1995	Model	Pyrolite model of the silicate Earth based on the least depleted ultramafic xenolith model according to Jagoutz et al. 1979. Compositions are given in weight percent per silicate oxide.	22-MAR-2000
Silicate Earth	13	Al	4.4						wt%ox	McDonough & Sun 1995	Model	Pyrolite model of the silicate Earth based on the MORB-harzburgite model according to Green et al. 1979. Compositions are given in weight percent per silicate oxide.	22-MAR-2000
Silicate Earth	13	Al	4.45						wt%ox	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts.	23-FEB-1999
Silicate Earth	33	As	.05						ppm	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	79	Au	1						ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	5	B	.3						ppm	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	56	Ba	6600		660				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	4	Be	.068		.0136				ppm	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	83	Bi	2.5		.75				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	35	Br	.05						ppm	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	6	C	120						ppm	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	20	Ca	3.5						wt%ox	McDonough & Sun 1995	Model	Pyrolite model of the silicate Earth based on the least depleted ultramafic xenolith model according to Jagoutz et al. 1979. Compositions are given in weight percent per silicate oxide.	22-MAR-2000
Silicate Earth	20	Ca	2.9						wt%ox	McDonough & Sun 1995	Model	Bulk silicate Earth model based on C1 Carbonaceous Chondrite values of major element oxides as taken from Taylor and McLennan 1985.	22-MAR-2000
Silicate Earth	20	Ca	3.55						wt%ox	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts.	23-FEB-1999
Silicate Earth	20	Ca	3.4						wt%ox	McDonough & Sun 1995	Model	Pyrolite model of the silicate Earth based on the MORB-harzburgite model according to Green et al. 1979. Compositions are given in weight percent per silicate oxide.	22-MAR-2000
Silicate Earth	20	Ca	2.53		.253				wt%	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	48	Cd	40		12				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	58	Ce	1675		167.5				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	17	Cl	17						ppm	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	27	Co	105		10.5				ppm	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	24	Cr	.46						wt%ox	McDonough & Sun 1995	Model	Pyrolite model of the silicate Earth based on the least depleted ultramafic xenolith model according to Jagoutz et al. 1979. Compositions are given in weight percent per silicate oxide.	22-MAR-2000
Silicate Earth	24	Cr	.384						wt%ox	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts.	23-FEB-1999
Silicate Earth	24	Cr	.44						wt%ox	McDonough & Sun 1995	Model	Bulk silicate Earth model based on C1 Carbonaceous Chondrite values of major element oxides as taken from Taylor and McLennan 1985.	22-MAR-2000
Silicate Earth	24	Cr	.45						wt%ox	McDonough & Sun 1995	Model	Pyrolite model of the silicate Earth based on the MORB-harzburgite model according to Green et al. 1979. Compositions are given in weight percent per silicate oxide.	22-MAR-2000
Silicate Earth	24	Cr	2625		393.75				ppm	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth		Cr/Mn	2.5							McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts.and basalts.	23-FEB-1999
Silicate Earth		Cr/V	32							McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts.and basalts.	23-FEB-1999
Silicate Earth	55	Cs	21		8.4				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	29	Cu	30		4.5				ppm	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	66	Dy	674		67.4				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	68	Er	438		43.8				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	63	Eu	154		15.4				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	9	F	25						ppm	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	26	Fe	7.82						wt%ox	McDonough & Sun 1995	Model	Pyrolite model of the silicate Earth based on the MORB-harzburgite model according to Green et al. 1979. Compositions are given in weight percent per silicate oxide.	22-MAR-2000
Silicate Earth	26	Fe	8						wt%ox	McDonough & Sun 1995	Model	Bulk silicate Earth model based on C1 Carbonaceous Chondrite values of major element oxides as taken from Taylor and McLennan 1985.	22-MAR-2000
Silicate Earth	26	Fe	6.26		.626				wt%	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	26	Fe	8.05						wt%ox	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts.	23-FEB-1999
Silicate Earth	26	Fe	7.82						wt%ox	McDonough & Sun 1995	Model	Pyrolite model of the silicate Earth based on the least depleted ultramafic xenolith model according to Jagoutz et al. 1979. Compositions are given in weight percent per silicate oxide.	22-MAR-2000
Silicate Earth		Fe/Al	2.7							McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts.and basalts.	23-FEB-1999
Silicate Earth		Fe/Cr	23.8							McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts.and basalts.	23-FEB-1999
Silicate Earth		Fe/Ni	31.9							McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts.and basalts.	23-FEB-1999
Silicate Earth	31	Ga	4		.4				ppm	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	64	Gd	544		54.4				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	32	Ge	1.1		.165				ppm	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	72	Hf	283		28.3				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	80	Hg	10						ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	67	Ho	149		14.9				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	53	I	10						ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	49	In	11		4.4				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	77	Ir	3.2		.96				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	19	K	.031						wt%ox	McDonough & Sun 1995	Model	Pyrolite model of the silicate Earth based on the least depleted ultramafic xenolith model according to Jagoutz et al. 1979. Compositions are given in weight percent per silicate oxide.	22-MAR-2000
Silicate Earth	19	K	.003						wt%ox	McDonough & Sun 1995	Model	Pyrolite model of the silicate Earth based on the MORB-harzburgite model according to Green et al. 1979. Compositions are given in weight percent per silicate oxide.	22-MAR-2000
Silicate Earth	19	K	.022						wt%ox	McDonough & Sun 1995	Model	Bulk silicate Earth model based on C1 Carbonaceous Chondrite values of major element oxides as taken from Taylor and McLennan 1985.	22-MAR-2000
Silicate Earth	19	K	240		48				ppm	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	19	K	.029						wt%ox	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts.	23-FEB-1999
Silicate Earth	57	La	648		64.8				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	3	Li	1.6		.48				ppm	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	71	Lu	67.5		6.75				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	12	Mg	38.3						wt%ox	McDonough & Sun 1995	Model	Pyrolite model of the silicate Earth based on the least depleted ultramafic xenolith model according to Jagoutz et al. 1979. Compositions are given in weight percent per silicate oxide.	22-MAR-2000
Silicate Earth	12	Mg	38.8						wt%ox	McDonough & Sun 1995	Model	Pyrolite model of the silicate Earth based on the MORB-harzburgite model according to Green et al. 1979. Compositions are given in weight percent per silicate oxide.	22-MAR-2000
Silicate Earth	12	Mg	37.8						wt%ox	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts.	23-FEB-1999
Silicate Earth	12	Mg	35.15						wt%ox	McDonough & Sun 1995	Model	Bulk silicate Earth model based on C1 Carbonaceous Chondrite values of major element oxides as taken from Taylor and McLennan 1985.	22-MAR-2000
Silicate Earth	12	Mg	22.8		2.28				wt%	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth		Mg/Al	9.7							McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts.and basalts.	23-FEB-1999
Silicate Earth	25	Mn	.135						wt%ox	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts.	23-FEB-1999
Silicate Earth	25	Mn	.13						wt%ox	McDonough & Sun 1995	Model	Bulk silicate Earth model based on C1 Carbonaceous Chondrite values of major element oxides as taken from Taylor and McLennan 1985.	22-MAR-2000
Silicate Earth	25	Mn	.13						wt%ox	McDonough & Sun 1995	Model	Pyrolite model of the silicate Earth based on the least depleted ultramafic xenolith model according to Jagoutz et al. 1979. Compositions are given in weight percent per silicate oxide.	22-MAR-2000
Silicate Earth	25	Mn	.11						wt%ox	McDonough & Sun 1995	Model	Pyrolite model of the silicate Earth based on the MORB-harzburgite model according to Green et al. 1979. Compositions are given in weight percent per silicate oxide.	22-MAR-2000
Silicate Earth	25	Mn	1045		104.5				ppm	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	42	Mo	50		20				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	7	N	2						ppm	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	11	Na	.4						wt%ox	McDonough & Sun 1995	Model	Pyrolite model of the silicate Earth based on the MORB-harzburgite model according to Green et al. 1979. Compositions are given in weight percent per silicate oxide.	22-MAR-2000
Silicate Earth	11	Na	.34						wt%ox	McDonough & Sun 1995	Model	Bulk silicate Earth model based on C1 Carbonaceous Chondrite values of major element oxides as taken from Taylor and McLennan 1985.	22-MAR-2000
Silicate Earth	11	Na	.36						wt%ox	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts.	23-FEB-1999
Silicate Earth	11	Na	.33						wt%ox	McDonough & Sun 1995	Model	Pyrolite model of the silicate Earth based on the least depleted ultramafic xenolith model according to Jagoutz et al. 1979. Compositions are given in weight percent per silicate oxide.	22-MAR-2000
Silicate Earth	11	Na	2670		400.5				ppm	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	41	Nb	658		98.7				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Silicate Earth	60	Nd	1250		125				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
